t_trip,P2_end,T_trip
0.11979835,96.131027,606.82509
4.4197983,96.131027,609.06148
8.8197984,96.131027,612.12613
12.719798,96.131027,615.17381
15.919798,96.131027,618.15152
18.919798,96.131027,621.23935
21.419798,96.131027,624.27382
23.719798,96.131027,627.33548
27.419798,96.131027,633.50376
25.619798,96.131027,630.34607
28.819798,96.131027,636.39282
30.219798,96.131027,639.4005
33.219798,96.131027,645.5112
31.719798,96.131027,642.52767
34.819798,96.131027,648.50966
36.519798,96.131027,651.55396
40.119798,96.131027,657.70026
38.319798,96.131027,654.69428
43.519798,96.131027,663.69893
41.919798,96.131027,660.71689
46.819798,96.131027,669.75701
45.219798,96.131027,666.82258
49.919798,96.131027,676.36637
48.619798,96.131027,672.75804
50.119798,96.131027,679.89597
50.319798,96.131027,684.44139
50.419798,96.131027,686.70505
50.519798,96.131027,688.79313
50.919798,96.131027,694.68214
50.719798,96.131027,692.22887
51.319798,96.131027,697.39502
0,0,0
0.11979835,97.46003,606.82502
4.4197983,97.46003,609.06148
8.8197984,97.46003,612.12613
12.719798,97.46003,615.17381
18.919798,97.46003,621.23935
15.919798,97.46003,618.15152
21.419798,97.46003,624.27382
23.719798,97.46003,627.33548
25.619798,97.46003,630.34607
27.419798,97.46003,633.50376
28.819798,97.46003,636.39282
30.219798,97.46003,639.4005
33.219798,97.46003,645.5112
31.719798,97.46003,642.52767
34.819798,97.46003,648.50966
36.519798,97.46003,651.55396
40.119798,97.46003,657.70026
38.319798,97.46003,654.69428
43.519798,97.46003,663.69893
41.919798,97.46003,660.71689
46.819798,97.46003,669.75701
45.219798,97.46003,666.82258
49.919798,97.46003,676.36637
48.619798,97.46003,672.75804
50.119798,97.46003,679.89597
50.319798,97.46003,684.44139
50.519798,97.46003,688.79313
50.419798,97.46003,686.70505
50.719798,97.46003,692.22887
50.919798,97.46003,694.68214
51.319798,97.46003,697.39502
0,0,0
0.11979835,98.789024,606.82502
4.4197983,98.789024,609.06148
12.719798,98.789024,615.17381
8.8197984,98.789024,612.12613
18.919798,98.789024,621.23935
15.919798,98.789024,618.15152
21.419798,98.789024,624.27382
23.719798,98.789024,627.33548
25.619798,98.789024,630.34607
27.419798,98.789024,633.50369
28.819798,98.789024,636.39282
30.219798,98.789024,639.4005
33.219798,98.789024,645.5112
31.719798,98.789024,642.52767
34.819798,98.789024,648.50966
36.519798,98.789024,651.55396
40.119798,98.789024,657.70026
38.319798,98.789024,654.69421
41.919798,98.789024,660.71689
43.519798,98.789024,663.69893
45.219798,98.789024,666.82258
46.819798,98.789024,669.75701
49.919798,98.789024,676.36637
48.619798,98.789024,672.75804
50.319798,98.789024,684.44139
50.119798,98.789024,679.89597
50.519798,98.789024,688.79313
50.419798,98.789024,686.70498
50.719798,98.789024,692.22887
50.919798,98.789024,694.68214
0,0,0
51.319798,98.789024,697.39502
4.4197983,100.11803,609.06148
0.11979835,100.11803,606.82502
12.719798,100.11803,615.17381
8.8197984,100.11803,612.12613
18.919798,100.11803,621.23935
15.919798,100.11803,618.15152
21.419798,100.11803,624.27382
23.719798,100.11803,627.33548
27.419798,100.11803,633.50369
25.619798,100.11803,630.34607
28.819798,100.11803,636.39282
30.219798,100.11803,639.4005
33.219798,100.11803,645.5112
31.719798,100.11803,642.52767
34.819798,100.11803,648.50966
36.519798,100.11803,651.55396
40.119798,100.11803,657.70026
38.319798,100.11803,654.69421
41.919798,100.11803,660.71689
43.519798,100.11803,663.69893
45.219798,100.11803,666.82258
46.819798,100.11803,669.75701
48.619798,100.11803,672.75804
49.919798,100.11803,676.36637
50.119798,100.11803,679.89597
50.319798,100.11803,684.44132
50.419798,100.11803,686.70498
50.519798,100.11803,688.79313
50.719798,100.11803,692.22887
50.919798,100.11803,694.68214
51.319798,100.11803,697.39502
0,0,0
0.11979835,101.44703,606.82502
4.4197983,101.44703,609.06148
8.8197984,101.44703,612.12613
12.719798,101.44703,615.17381
15.919798,101.44703,618.15152
18.919798,101.44703,621.23935
21.419798,101.44703,624.27382
23.719798,101.44703,627.33548
27.419798,101.44703,633.50369
25.619798,101.44703,630.34607
28.819798,101.44703,636.39282
30.219798,101.44703,639.4005
31.719798,101.44703,642.52767
33.219798,101.44703,645.5112
36.519798,101.44703,651.55396
34.819798,101.44703,648.50966
38.319798,101.44703,654.69421
40.119798,101.44703,657.70026
41.919798,101.44703,660.71689
43.519798,101.44703,663.69893
45.219798,101.44703,666.82258
46.819798,101.44703,669.75701
48.619798,101.44703,672.75804
49.919798,101.44703,676.36637
50.119798,101.44703,679.89597
50.319798,101.44703,684.44132
50.419798,101.44703,686.70498
50.519798,101.44703,688.79313
50.719798,101.44703,692.22887
50.919798,101.44703,694.68214
51.319798,101.44703,697.39502
0,0,0
0.11979835,102.77602,606.82502
4.4197983,102.77602,609.06148
8.8197984,102.77602,612.12613
12.719798,102.77602,615.17381
15.919798,102.77602,618.15152
18.919798,102.77602,621.23935
21.419798,102.77602,624.27382
23.719798,102.77602,627.33548
25.619798,102.77602,630.34607
27.419798,102.77602,633.50369
28.819798,102.77602,636.39282
30.219798,102.77602,639.4005
33.219798,102.77602,645.5112
31.719798,102.77602,642.52767
34.819798,102.77602,648.50966
36.519798,102.77602,651.55396
38.319798,102.77602,654.69421
40.119798,102.77602,657.70026
41.919798,102.77602,660.71689
43.519798,102.77602,663.69893
45.219798,102.77602,666.82251
46.819798,102.77602,669.75701
48.619798,102.77602,672.75804
49.919798,102.77602,676.36637
50.119798,102.77602,679.89597
50.319798,102.77602,684.44132
50.419798,102.77602,686.70498
50.519798,102.77602,688.79313
50.919798,102.77602,694.68214
50.719798,102.77602,692.22887
51.319798,102.77602,697.39495
0,0,0
0.11979835,104.10503,606.82502
4.4197983,104.10503,609.06148
8.8197984,104.10503,612.12613
12.719798,104.10503,615.17381
15.919798,104.10503,618.15152
18.919798,104.10503,621.23935
21.419798,104.10503,624.27382
23.719798,104.10503,627.33548
25.619798,104.10503,630.34607
27.419798,104.10503,633.50369
28.819798,104.10503,636.39282
30.219798,104.10503,639.4005
31.719798,104.10503,642.52767
33.219798,104.10503,645.5112
34.819798,104.10503,648.50966
36.519798,104.10503,651.55396
38.319798,104.10503,654.69421
40.119798,104.10503,657.70026
43.519798,104.10503,663.69893
41.919798,104.10503,660.71689
45.219798,104.10503,666.82251
46.819798,104.10503,669.75701
49.919798,104.10503,676.36637
48.619798,104.10503,672.75804
50.119798,104.10503,679.89597
50.319798,104.10503,684.44126
50.419798,104.10503,686.70498
50.519798,104.10503,688.79313
50.719798,104.10503,692.22887
50.919798,104.10503,694.68214
51.319798,104.10503,697.39495
0,0,0
0.11979835,105.43403,606.82495
4.4197983,105.43403,609.06148
8.8197984,105.43403,612.12613
12.719798,105.43403,615.17381
15.919798,105.43403,618.15152
18.919798,105.43403,621.23935
21.419798,105.43403,624.27382
23.719798,105.43403,627.33548
25.619798,105.43403,630.34607
27.419798,105.43403,633.50362
30.219798,105.43403,639.4005
28.819798,105.43403,636.39282
33.219798,105.43403,645.5112
31.719798,105.43403,642.52767
34.819798,105.43403,648.50966
36.519798,105.43403,651.55396
38.319798,105.43403,654.69421
40.119798,105.43403,657.70026
43.519798,105.43403,663.69893
41.919798,105.43403,660.71689
45.219798,105.43403,666.82251
46.819798,105.43403,669.75701
49.919798,105.43403,676.36637
48.619798,105.43403,672.75804
50.119798,105.43403,679.89597
50.319798,105.43403,684.44126
50.419798,105.43403,686.70498
50.519798,105.43403,688.79313
50.719798,105.43403,692.2288
50.919798,105.43403,694.68214
51.319798,105.43403,697.39495
0,0,0
0.11979835,106.76303,606.82495
4.4197983,106.76303,609.06148
8.8197984,106.76303,612.12613
12.719798,106.76303,615.17381
18.919798,106.76303,621.23935
15.919798,106.76303,618.15152
21.419798,106.76303,624.27382
23.719798,106.76303,627.33548
27.419798,106.76303,633.50362
25.619798,106.76303,630.34607
28.819798,106.76303,636.39282
30.219798,106.76303,639.4005
31.719798,106.76303,642.52767
33.219798,106.76303,645.5112
34.819798,106.76303,648.50966
36.519798,106.76303,651.55396
38.319798,106.76303,654.69421
40.119798,106.76303,657.70026
41.919798,106.76303,660.71689
43.519798,106.76303,663.69893
45.219798,106.76303,666.82251
46.819798,106.76303,669.75701
49.919798,106.76303,676.36637
48.619798,106.76303,672.75804
50.319798,106.76303,684.44126
50.119798,106.76303,679.89597
50.519798,106.76303,688.79313
50.419798,106.76303,686.70498
50.919798,106.76303,694.68214
50.719798,106.76303,692.2288
0,0,0
51.319798,106.76303,697.39495
0.11979835,108.09203,606.82495
4.4197983,108.09203,609.06148
8.8197984,108.09203,612.12613
12.719798,108.09203,615.17381
15.919798,108.09203,618.15152
18.919798,108.09203,621.23935
23.719798,108.09203,627.33548
21.419798,108.09203,624.27382
25.619798,108.09203,630.34607
27.419798,108.09203,633.50362
28.819798,108.09203,636.39282
30.219798,108.09203,639.4005
31.719798,108.09203,642.52767
33.219798,108.09203,645.5112
34.819798,108.09203,648.50966
36.519798,108.09203,651.55396
38.319798,108.09203,654.69421
40.119798,108.09203,657.70026
41.919798,108.09203,660.71689
43.519798,108.09203,663.69893
46.819798,108.09203,669.75701
45.219798,108.09203,666.82251
48.619798,108.09203,672.75804
49.919798,108.09203,676.36637
50.119798,108.09203,679.89597
50.319798,108.09203,684.44119
50.419798,108.09203,686.70498
50.519798,108.09203,688.79313
50.719798,108.09203,692.2288
50.919798,108.09203,694.68214
51.319798,108.09203,697.39495
0,0,0
0.11979835,109.42103,606.82495
4.4197983,109.42103,609.06148
8.8197984,109.42103,612.12606
15.919798,109.42103,618.15152
12.719798,109.42103,615.17381
18.919798,109.42103,621.23935
21.419798,109.42103,624.27382
25.619798,109.42103,630.34607
23.719798,109.42103,627.33548
27.419798,109.42103,633.50362
28.819798,109.42103,636.39282
30.219798,109.42103,639.4005
31.719798,109.42103,642.52767
33.219798,109.42103,645.5112
34.819798,109.42103,648.50966
36.519798,109.42103,651.55396
38.319798,109.42103,654.69421
40.119798,109.42103,657.7002
41.919798,109.42103,660.71689
43.519798,109.42103,663.69893
45.219798,109.42103,666.82251
46.819798,109.42103,669.75701
48.619798,109.42103,672.75804
49.919798,109.42103,676.36637
50.119798,109.42103,679.89597
50.319798,109.42103,684.44119
50.419798,109.42103,686.70498
50.719798,109.42103,692.2288
50.519798,109.42103,688.79313
51.319798,109.42103,697.39488
50.919798,109.42103,694.68214
0,0,0
0.11979835,110.75003,606.82495
8.8197984,110.75003,612.12606
4.4197983,110.75003,609.06148
12.719798,110.75003,615.17381
15.919798,110.75003,618.15152
18.919798,110.75003,621.23935
21.419798,110.75003,624.27382
25.619798,110.75003,630.34607
23.719798,110.75003,627.33548
28.819798,110.75003,636.39282
27.419798,110.75003,633.50362
30.219798,110.75003,639.4005
31.719798,110.75003,642.52767
33.219798,110.75003,645.5112
34.819798,110.75003,648.50966
36.519798,110.75003,651.55396
38.319798,110.75003,654.69415
40.119798,110.75003,657.7002
41.919798,110.75003,660.71689
43.519798,110.75003,663.69893
46.819798,110.75003,669.75701
45.219798,110.75003,666.82244
48.619798,110.75003,672.75804
49.919798,110.75003,676.36637
50.119798,110.75003,679.89597
50.319798,110.75003,684.44112
50.419798,110.75003,686.70492
50.719798,110.75003,692.2288
50.519798,110.75003,688.79313
51.319798,110.75003,697.39488
50.919798,110.75003,694.68214
0.11979835,112.07903,606.82495
0,0,0
8.8197984,112.07903,612.12606
4.4197983,112.07903,609.06148
15.919798,112.07903,618.15152
12.719798,112.07903,615.17381
21.419798,112.07903,624.27382
18.919798,112.07903,621.23935
23.719798,112.07903,627.33548
25.619798,112.07903,630.34607
28.819798,112.07903,636.39282
27.419798,112.07903,633.50355
31.719798,112.07903,642.52767
30.219798,112.07903,639.4005
33.219798,112.07903,645.5112
34.819798,112.07903,648.50966
38.319798,112.07903,654.69415
36.519798,112.07903,651.55396
41.919798,112.07903,660.71689
40.119798,112.07903,657.7002
45.219798,112.07903,666.82244
43.519798,112.07903,663.69893
46.819798,112.07903,669.75701
48.619798,112.07903,672.75804
50.119798,112.07903,679.89597
49.919798,112.07903,676.36637
50.319798,112.07903,684.44112
50.419798,112.07903,686.70492
50.519798,112.07903,688.79313
50.719798,112.07903,692.2288
50.919798,112.07903,694.68214
51.319798,112.07903,697.39488
0,0,0
0.11979835,113.40803,606.82495
4.4197983,113.40803,609.06148
8.8197984,113.40803,612.12606
15.919798,113.40803,618.15152
12.719798,113.40803,615.17381
18.919798,113.40803,621.23935
21.419798,113.40803,624.27382
23.719798,113.40803,627.33548
25.619798,113.40803,630.34607
27.419798,113.40803,633.50355
28.819798,113.40803,636.39282
30.219798,113.40803,639.4005
31.719798,113.40803,642.52767
33.219798,113.40803,645.5112
NaN,NaN,NaN
36.519798,113.40803,651.55396
38.319798,113.40803,654.69415
41.919798,113.40803,660.71689
40.119798,113.40803,657.7002
43.519798,113.40803,663.69893
45.219798,113.40803,666.82244
46.819798,113.40803,669.75701
48.619798,113.40803,672.75804
49.919798,113.40803,676.36637
50.119798,113.40803,679.89597
50.319798,113.40803,684.44105
50.419798,113.40803,686.70492
50.519798,113.40803,688.79313
50.719798,113.40803,692.2288
50.919798,113.40803,694.68214
51.319798,113.40803,697.39488
0.11979835,114.73703,606.82488
0,0,0
8.8197984,114.73703,612.12606
4.4197983,114.73703,609.06148
12.719798,114.73703,615.17381
15.919798,114.73703,618.15152
21.419798,114.73703,624.27382
18.919798,114.73703,621.23935
25.619798,114.73703,630.34607
23.719798,114.73703,627.33548
27.419798,114.73703,633.50355
28.819798,114.73703,636.39282
31.719798,114.73703,642.52767
30.219798,114.73703,639.4005
33.219798,114.73703,645.5112
34.819798,114.73703,648.50966
36.519798,114.73703,651.55396
38.319798,114.73703,654.69415
41.919798,114.73703,660.71689
40.119798,114.73703,657.7002
43.519798,114.73703,663.69893
45.219798,114.73703,666.82244
46.819798,114.73703,669.75701
48.619798,114.73703,672.75804
49.919798,114.73703,676.36637
50.119798,114.73703,679.89597
50.319798,114.73703,684.44105
50.419798,114.73703,686.70492
50.519798,114.73703,688.79313
50.719798,114.73703,692.2288
51.319798,114.73703,697.39488
50.919798,114.73703,694.68214
0,0,0
0.11979835,116.06603,606.82488
8.8197984,116.06603,612.12606
4.4197983,116.06603,609.06148
12.719798,116.06603,615.17381
15.919798,116.06603,618.15152
21.419798,116.06603,624.27382
18.919798,116.06603,621.23935
23.719798,116.06603,627.33548
25.619798,116.06603,630.34607
28.819798,116.06603,636.39282
27.419798,116.06603,633.50355
30.219798,116.06603,639.4005
31.719798,116.06603,642.52767
33.219798,116.06603,645.5112
34.819798,116.06603,648.50966
36.519798,116.06603,651.55396
38.319798,116.06603,654.69415
40.119798,116.06603,657.7002
41.919798,116.06603,660.71682
45.219798,116.06603,666.82244
43.519798,116.06603,663.69893
46.819798,116.06603,669.75701
48.619798,116.06603,672.75804
49.919798,116.06603,676.36637
50.119798,116.06603,679.89597
50.319798,116.06603,684.44105
50.419798,116.06603,686.70492
50.719798,116.06603,692.2288
50.519798,116.06603,688.79313
51.319798,116.06603,697.39482
50.919798,116.06603,694.68214
